2025-02-11 09:11:36 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-02-11 09:11:36 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-02-11 09:11:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77cac3b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3167c0d, org.springframework.security.web.context.SecurityContextHolderFilter@6258ea84, org.springframework.security.web.header.HeaderWriterFilter@774f2d7f, org.springframework.web.filter.CorsFilter@7fd624f5, org.springframework.security.web.authentication.logout.LogoutFilter@1df1bd44, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@35984172, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a275836, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1a6864f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74f23ecc, org.springframework.security.web.access.ExceptionTranslationFilter@62808e8d, org.springframework.security.web.access.intercept.AuthorizationFilter@7b80be13]
2025-02-11 09:11:37 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-11 09:11:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/identity_service'
2025-02-11 09:11:37 [main] INFO  c.e.i.IdentityServiceApplication - Started IdentityServiceApplication in 5.846 seconds (process running for 6.483)
2025-02-11 09:12:21 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:12:21 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-11 09:12:21 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-11 09:12:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-11 09:12:31 [main] INFO  c.e.i.IdentityServiceApplication - Starting IdentityServiceApplication using Java 23.0.2 with PID 18804 (C:\Code\Java\identity_service\target\classes started by Duong in C:\Code\Java\identity_service)
2025-02-11 09:12:31 [main] INFO  c.e.i.IdentityServiceApplication - The following 1 profile is active: "prod"
2025-02-11 09:12:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-11 09:12:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 12 JPA repository interfaces.
2025-02-11 09:12:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-11 09:12:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-11 09:12:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-11 09:12:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-11 09:12:33 [main] INFO  o.a.c.c.C.[.[.[/identity_service] - Initializing Spring embedded WebApplicationContext
2025-02-11 09:12:33 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1323 ms
2025-02-11 09:12:33 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-11 09:12:33 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-02-11 09:12:33 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-02-11 09:12:33 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-11 09:12:33 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-11 09:12:33 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c0ff7a0
2025-02-11 09:12:33 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-11 09:12:35 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-02-11 09:12:35 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:12:35 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-02-11 09:12:36 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
